Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Landing page,Chrome 63.0.3239.132,,2018-02-10 21:22:39,2018-02-10 21:22:49,9.961s,FAILED
,,,,,,
Test Cases/Check Landing Page Title,Chrome 63.0.3239.132,,2018-02-10 21:22:40,2018-02-10 21:22:46,5.636s,FAILED
openBrowser,Chrome 63.0.3239.132,,2018-02-10 21:22:40,2018-02-10 21:22:43,2.341s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-10 21:22:43,2018-02-10 21:22:45,2.623s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 63.0.3239.132,,2018-02-10 21:22:45,2018-02-10 21:22:45,0.080s,PASSED
verifyMatch,Chrome 63.0.3239.132,,2018-02-10 21:22:45,2018-02-10 21:22:46,0.039s,FAILED
,,,,,,
Test Cases/Verified That Elemets are Clikable,Chrome 63.0.3239.132,,2018-02-10 21:22:46,2018-02-10 21:22:49,3.828s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-10 21:22:46,2018-02-10 21:22:47,0.850s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-10 21:22:47,2018-02-10 21:22:49,2.366s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-10 21:22:49,2018-02-10 21:22:49,0.143s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-10 21:22:49,2018-02-10 21:22:49,0.048s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-10 21:22:49,2018-02-10 21:22:49,0.062s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-02-10 21:22:49,2018-02-10 21:22:49,0.107s,PASSED
