Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Landing page,Chrome 64.0.3282.186,,2018-02-25 17:07:48,2018-02-25 17:08:31,43.236s,PASSED
,,,,,,
Test Cases/Check Landing Page Title,Chrome 64.0.3282.186,,2018-02-25 17:07:48,2018-02-25 17:07:54,5.672s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-02-25 17:07:49,2018-02-25 17:07:51,2.392s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-02-25 17:07:51,2018-02-25 17:07:54,2.570s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 64.0.3282.186,,2018-02-25 17:07:54,2018-02-25 17:07:54,0.066s,PASSED
verifyMatch,Chrome 64.0.3282.186,,2018-02-25 17:07:54,2018-02-25 17:07:54,0.056s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-02-25 17:07:54,2018-02-25 17:07:54,0.103s,PASSED
,,,,,,
Test Cases/Verified That Elemets are Clikable,Chrome 64.0.3282.186,,2018-02-25 17:07:54,2018-02-25 17:07:58,3.909s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-02-25 17:07:54,2018-02-25 17:07:55,0.818s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-02-25 17:07:55,2018-02-25 17:07:57,2.543s,PASSED
verifyElementClickable,Chrome 64.0.3282.186,,2018-02-25 17:07:57,2018-02-25 17:07:57,0.104s,PASSED
verifyElementClickable,Chrome 64.0.3282.186,,2018-02-25 17:07:57,2018-02-25 17:07:58,0.079s,PASSED
verifyElementClickable,Chrome 64.0.3282.186,,2018-02-25 17:07:58,2018-02-25 17:07:58,0.060s,PASSED
verifyElementClickable,Chrome 64.0.3282.186,,2018-02-25 17:07:58,2018-02-25 17:07:58,0.051s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-02-25 17:07:58,2018-02-25 17:07:58,0.083s,PASSED
,,,,,,
Test Cases/Check Sign In,Chrome 64.0.3282.186,,2018-02-25 17:07:58,2018-02-25 17:08:05,6.875s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-02-25 17:07:58,2018-02-25 17:08:00,1.671s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-02-25 17:08:00,2018-02-25 17:08:03,2.945s,PASSED
click,Chrome 64.0.3282.186,,2018-02-25 17:08:03,2018-02-25 17:08:03,0.347s,PASSED
setText,Chrome 64.0.3282.186,,2018-02-25 17:08:03,2018-02-25 17:08:03,0.532s,PASSED
setText,Chrome 64.0.3282.186,,2018-02-25 17:08:03,2018-02-25 17:08:04,0.217s,PASSED
click,Chrome 64.0.3282.186,,2018-02-25 17:08:04,2018-02-25 17:08:04,0.117s,PASSED
verifyElementVisible,Chrome 64.0.3282.186,,2018-02-25 17:08:04,2018-02-25 17:08:04,0.575s,PASSED
click,Chrome 64.0.3282.186,,2018-02-25 17:08:04,2018-02-25 17:08:05,0.204s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-02-25 17:08:05,2018-02-25 17:08:05,0.095s,PASSED
,,,,,,
Test Cases/Check Map Page Title,Chrome 64.0.3282.186,,2018-02-25 17:08:05,2018-02-25 17:08:09,4.011s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-02-25 17:08:05,2018-02-25 17:08:06,0.819s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-02-25 17:08:06,2018-02-25 17:08:08,2.681s,PASSED
click,Chrome 64.0.3282.186,,2018-02-25 17:08:08,2018-02-25 17:08:09,0.209s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 64.0.3282.186,,2018-02-25 17:08:09,2018-02-25 17:08:09,0.020s,PASSED
verifyMatch,Chrome 64.0.3282.186,,2018-02-25 17:08:09,2018-02-25 17:08:09,0.004s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-02-25 17:08:09,2018-02-25 17:08:09,0.087s,PASSED
,,,,,,
Test Cases/DDT Sign In,Chrome 64.0.3282.186,,2018-02-25 17:08:09,2018-02-25 17:08:31,21.961s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-02-25 17:08:09,2018-02-25 17:08:10,0.713s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-02-25 17:08:10,2018-02-25 17:08:12,2.445s,PASSED
click,Chrome 64.0.3282.186,,2018-02-25 17:08:12,2018-02-25 17:08:12,0.227s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(Data Files/DataforDDTSignUP).getRowNumbers(), (row++)])",Chrome 64.0.3282.186,,2018-02-25 17:08:12,2018-02-25 17:08:31,18.301s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-02-25 17:08:31,2018-02-25 17:08:31,0.085s,PASSED
