Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Landing page,Chrome 63.0.3239.132,,2018-02-11 19:38:11,2018-02-11 19:38:27,15.852s,PASSED
,,,,,,
Test Cases/Check Landing Page Title,Chrome 63.0.3239.132,,2018-02-11 19:38:11,2018-02-11 19:38:17,5.811s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-11 19:38:12,2018-02-11 19:38:14,2.598s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-11 19:38:14,2018-02-11 19:38:17,2.468s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 63.0.3239.132,,2018-02-11 19:38:17,2018-02-11 19:38:17,0.052s,PASSED
verifyMatch,Chrome 63.0.3239.132,,2018-02-11 19:38:17,2018-02-11 19:38:17,0.044s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-02-11 19:38:17,2018-02-11 19:38:17,0.101s,PASSED
,,,,,,
Test Cases/Verified That Elemets are Clikable,Chrome 63.0.3239.132,,2018-02-11 19:38:17,2018-02-11 19:38:21,4.104s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-11 19:38:17,2018-02-11 19:38:18,0.883s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-11 19:38:18,2018-02-11 19:38:21,2.585s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-11 19:38:21,2018-02-11 19:38:21,0.173s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-11 19:38:21,2018-02-11 19:38:21,0.062s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-11 19:38:21,2018-02-11 19:38:21,0.096s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-11 19:38:21,2018-02-11 19:38:21,0.050s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-02-11 19:38:21,2018-02-11 19:38:21,0.082s,PASSED
,,,,,,
Test Cases/Check Sign In,Chrome 63.0.3239.132,,2018-02-11 19:38:21,2018-02-11 19:38:27,5.478s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-11 19:38:21,2018-02-11 19:38:22,0.760s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-11 19:38:22,2018-02-11 19:38:25,2.622s,PASSED
click,Chrome 63.0.3239.132,,2018-02-11 19:38:25,2018-02-11 19:38:25,0.195s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-11 19:38:25,2018-02-11 19:38:25,0.549s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-11 19:38:26,2018-02-11 19:38:26,0.228s,PASSED
click,Chrome 63.0.3239.132,,2018-02-11 19:38:26,2018-02-11 19:38:26,0.091s,PASSED
verifyElementVisible,Chrome 63.0.3239.132,,2018-02-11 19:38:26,2018-02-11 19:38:26,0.573s,PASSED
click,Chrome 63.0.3239.132,,2018-02-11 19:38:26,2018-02-11 19:38:27,0.149s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-02-11 19:38:27,2018-02-11 19:38:27,0.086s,PASSED
