Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Landing page,Chrome 63.0.3239.132,,2018-02-10 20:52:12,2018-02-10 20:52:24,11.732s,ERROR
,,,,,,
Test Cases/Check Landing Page Title,Chrome 63.0.3239.132,,2018-02-10 20:52:12,2018-02-10 20:52:18,5.961s,ERROR
openBrowser,Chrome 63.0.3239.132,,2018-02-10 20:52:13,2018-02-10 20:52:15,2.452s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-10 20:52:15,2018-02-10 20:52:18,2.966s,PASSED
Statement - titleWindow = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 63.0.3239.132,,2018-02-10 20:52:18,2018-02-10 20:52:18,0.078s,PASSED
verifyMatch,Chrome 63.0.3239.132,,2018-02-10 20:52:18,2018-02-10 20:52:18,0.018s,PASSED
,,,,,,
Test Cases/Verified That Elemets are Clikable,Chrome 63.0.3239.132,,2018-02-10 20:52:18,2018-02-10 20:52:24,5.357s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-10 20:52:19,2018-02-10 20:52:19,0.725s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-10 20:52:19,2018-02-10 20:52:23,3.968s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-10 20:52:23,2018-02-10 20:52:23,0.122s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-10 20:52:23,2018-02-10 20:52:24,0.105s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-10 20:52:24,2018-02-10 20:52:24,0.097s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-02-10 20:52:24,2018-02-10 20:52:24,0.096s,PASSED
