Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Landing page,Chrome 63.0.3239.132,,2018-02-11 19:53:09,2018-02-11 19:53:31,21.703s,PASSED
,,,,,,
Test Cases/Check Landing Page Title,Chrome 63.0.3239.132,,2018-02-11 19:53:10,2018-02-11 19:53:16,6.553s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-11 19:53:10,2018-02-11 19:53:13,2.976s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-11 19:53:13,2018-02-11 19:53:16,2.660s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 63.0.3239.132,,2018-02-11 19:53:16,2018-02-11 19:53:16,0.047s,PASSED
verifyMatch,Chrome 63.0.3239.132,,2018-02-11 19:53:16,2018-02-11 19:53:16,0.047s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-02-11 19:53:16,2018-02-11 19:53:16,0.098s,PASSED
,,,,,,
Test Cases/Verified That Elemets are Clikable,Chrome 63.0.3239.132,,2018-02-11 19:53:16,2018-02-11 19:53:20,4.187s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-11 19:53:16,2018-02-11 19:53:17,0.883s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-11 19:53:17,2018-02-11 19:53:20,2.641s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-11 19:53:20,2018-02-11 19:53:20,0.170s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-11 19:53:20,2018-02-11 19:53:20,0.084s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-11 19:53:20,2018-02-11 19:53:20,0.121s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-11 19:53:20,2018-02-11 19:53:20,0.064s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-02-11 19:53:20,2018-02-11 19:53:20,0.081s,PASSED
,,,,,,
Test Cases/Check Sign In,Chrome 63.0.3239.132,,2018-02-11 19:53:20,2018-02-11 19:53:26,6.065s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-11 19:53:21,2018-02-11 19:53:21,0.813s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-11 19:53:21,2018-02-11 19:53:24,3.065s,PASSED
click,Chrome 63.0.3239.132,,2018-02-11 19:53:24,2018-02-11 19:53:25,0.219s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-11 19:53:25,2018-02-11 19:53:25,0.531s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-11 19:53:25,2018-02-11 19:53:25,0.281s,PASSED
click,Chrome 63.0.3239.132,,2018-02-11 19:53:25,2018-02-11 19:53:26,0.135s,PASSED
verifyElementVisible,Chrome 63.0.3239.132,,2018-02-11 19:53:26,2018-02-11 19:53:26,0.576s,PASSED
click,Chrome 63.0.3239.132,,2018-02-11 19:53:26,2018-02-11 19:53:26,0.154s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-02-11 19:53:26,2018-02-11 19:53:26,0.085s,PASSED
,,,,,,
Test Cases/Check Map Page Title,Chrome 63.0.3239.132,,2018-02-11 19:53:26,2018-02-11 19:53:31,4.238s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-11 19:53:27,2018-02-11 19:53:27,0.809s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-11 19:53:27,2018-02-11 19:53:30,2.964s,PASSED
click,Chrome 63.0.3239.132,,2018-02-11 19:53:30,2018-02-11 19:53:31,0.238s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 63.0.3239.132,,2018-02-11 19:53:31,2018-02-11 19:53:31,0.017s,PASSED
verifyMatch,Chrome 63.0.3239.132,,2018-02-11 19:53:31,2018-02-11 19:53:31,0.002s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-02-11 19:53:31,2018-02-11 19:53:31,0.082s,PASSED
