Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Landing page,Chrome 63.0.3239.132,,2018-02-15 19:29:20,2018-02-15 19:29:43,23.174s,PASSED
,,,,,,
Test Cases/Check Landing Page Title,Chrome 63.0.3239.132,,2018-02-15 19:29:21,2018-02-15 19:29:28,7.274s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-15 19:29:21,2018-02-15 19:29:24,2.946s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-15 19:29:24,2018-02-15 19:29:28,3.518s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 63.0.3239.132,,2018-02-15 19:29:28,2018-02-15 19:29:28,0.059s,PASSED
verifyMatch,Chrome 63.0.3239.132,,2018-02-15 19:29:28,2018-02-15 19:29:28,0.074s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-02-15 19:29:28,2018-02-15 19:29:28,0.126s,PASSED
,,,,,,
Test Cases/Verified That Elemets are Clikable,Chrome 63.0.3239.132,,2018-02-15 19:29:28,2018-02-15 19:29:33,5.407s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-15 19:29:28,2018-02-15 19:29:29,0.886s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-15 19:29:29,2018-02-15 19:29:32,3.276s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-15 19:29:32,2018-02-15 19:29:32,0.177s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-15 19:29:32,2018-02-15 19:29:33,0.077s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-15 19:29:33,2018-02-15 19:29:33,0.091s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-15 19:29:33,2018-02-15 19:29:33,0.069s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-02-15 19:29:33,2018-02-15 19:29:33,0.597s,PASSED
,,,,,,
Test Cases/Check Sign In,Chrome 63.0.3239.132,,2018-02-15 19:29:33,2018-02-15 19:29:40,6.508s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-15 19:29:34,2018-02-15 19:29:34,0.856s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-15 19:29:34,2018-02-15 19:29:37,2.359s,PASSED
click,Chrome 63.0.3239.132,,2018-02-15 19:29:37,2018-02-15 19:29:37,0.382s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-15 19:29:37,2018-02-15 19:29:38,0.604s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-15 19:29:38,2018-02-15 19:29:38,0.313s,PASSED
click,Chrome 63.0.3239.132,,2018-02-15 19:29:38,2018-02-15 19:29:38,0.132s,PASSED
verifyElementVisible,Chrome 63.0.3239.132,,2018-02-15 19:29:38,2018-02-15 19:29:39,0.670s,PASSED
click,Chrome 63.0.3239.132,,2018-02-15 19:29:39,2018-02-15 19:29:40,0.845s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-02-15 19:29:40,2018-02-15 19:29:40,0.091s,PASSED
,,,,,,
Test Cases/Check Map Page Title,Chrome 63.0.3239.132,,2018-02-15 19:29:40,2018-02-15 19:29:43,3.305s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-15 19:29:40,2018-02-15 19:29:41,0.737s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-15 19:29:41,2018-02-15 19:29:43,2.041s,PASSED
click,Chrome 63.0.3239.132,,2018-02-15 19:29:43,2018-02-15 19:29:43,0.227s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 63.0.3239.132,,2018-02-15 19:29:43,2018-02-15 19:29:43,0.029s,PASSED
verifyMatch,Chrome 63.0.3239.132,,2018-02-15 19:29:43,2018-02-15 19:29:43,0.002s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-02-15 19:29:43,2018-02-15 19:29:43,0.086s,PASSED
