Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Landing page,Chrome 63.0.3239.132,,2018-02-10 22:18:07,2018-02-10 22:18:22,15.658s,PASSED
,,,,,,
Test Cases/Check Landing Page Title,Chrome 63.0.3239.132,,2018-02-10 22:18:07,2018-02-10 22:18:13,5.846s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-10 22:18:08,2018-02-10 22:18:10,2.593s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-10 22:18:10,2018-02-10 22:18:13,2.520s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 63.0.3239.132,,2018-02-10 22:18:13,2018-02-10 22:18:13,0.091s,PASSED
verifyMatch,Chrome 63.0.3239.132,,2018-02-10 22:18:13,2018-02-10 22:18:13,0.033s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-02-10 22:18:13,2018-02-10 22:18:13,0.116s,PASSED
,,,,,,
Test Cases/Verified That Elemets are Clikable,Chrome 63.0.3239.132,,2018-02-10 22:18:13,2018-02-10 22:18:17,3.885s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-10 22:18:13,2018-02-10 22:18:14,0.799s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-10 22:18:14,2018-02-10 22:18:17,2.518s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-10 22:18:17,2018-02-10 22:18:17,0.150s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-10 22:18:17,2018-02-10 22:18:17,0.050s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-10 22:18:17,2018-02-10 22:18:17,0.061s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-02-10 22:18:17,2018-02-10 22:18:17,0.082s,PASSED
,,,,,,
Test Cases/Check Sign In,Chrome 63.0.3239.132,,2018-02-10 22:18:17,2018-02-10 22:18:22,5.442s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-10 22:18:17,2018-02-10 22:18:18,0.740s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-10 22:18:18,2018-02-10 22:18:20,2.521s,PASSED
click,Chrome 63.0.3239.132,,2018-02-10 22:18:20,2018-02-10 22:18:21,0.221s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-10 22:18:21,2018-02-10 22:18:21,0.506s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-10 22:18:21,2018-02-10 22:18:21,0.220s,PASSED
click,Chrome 63.0.3239.132,,2018-02-10 22:18:21,2018-02-10 22:18:21,0.097s,PASSED
verifyElementVisible,Chrome 63.0.3239.132,,2018-02-10 22:18:21,2018-02-10 22:18:22,0.629s,PASSED
click,Chrome 63.0.3239.132,,2018-02-10 22:18:22,2018-02-10 22:18:22,0.253s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-02-10 22:18:22,2018-02-10 22:18:22,0.082s,PASSED
