Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Landing page,Chrome 63.0.3239.132,,2018-02-10 20:54:20,2018-02-10 20:54:32,12.038s,ERROR
,,,,,,
Test Cases/Check Landing Page Title,Chrome 63.0.3239.132,,2018-02-10 20:54:21,2018-02-10 20:54:27,5.962s,ERROR
openBrowser,Chrome 63.0.3239.132,,2018-02-10 20:54:21,2018-02-10 20:54:23,2.212s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-10 20:54:23,2018-02-10 20:54:27,3.233s,PASSED
Statement - titleWindow = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 63.0.3239.132,,2018-02-10 20:54:27,2018-02-10 20:54:27,0.062s,PASSED
verifyMatch,Chrome 63.0.3239.132,,2018-02-10 20:54:27,2018-02-10 20:54:27,0.008s,PASSED
,,,,,,
Test Cases/Verified That Elemets are Clikable,Chrome 63.0.3239.132,,2018-02-10 20:54:27,2018-02-10 20:54:32,5.672s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-10 20:54:27,2018-02-10 20:54:29,1.769s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-10 20:54:29,2018-02-10 20:54:32,3.395s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-10 20:54:32,2018-02-10 20:54:32,0.118s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-10 20:54:32,2018-02-10 20:54:32,0.058s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-10 20:54:32,2018-02-10 20:54:32,0.071s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-02-10 20:54:32,2018-02-10 20:54:32,0.094s,PASSED
