Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Landing page,Chrome 63.0.3239.132,,2018-02-10 21:10:24,2018-02-10 21:10:35,10.296s,ERROR
,,,,,,
Test Cases/Check Landing Page Title,Chrome 63.0.3239.132,,2018-02-10 21:10:25,2018-02-10 21:10:30,5.085s,ERROR
openBrowser,Chrome 63.0.3239.132,,2018-02-10 21:10:25,2018-02-10 21:10:27,2.073s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-10 21:10:27,2018-02-10 21:10:30,2.400s,PASSED
Statement - titleWindow = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 63.0.3239.132,,2018-02-10 21:10:30,2018-02-10 21:10:30,0.099s,PASSED
verifyMatch,Chrome 63.0.3239.132,,2018-02-10 21:10:30,2018-02-10 21:10:30,0.008s,PASSED
,,,,,,
Test Cases/Verified That Elemets are Clikable,Chrome 63.0.3239.132,,2018-02-10 21:10:30,2018-02-10 21:10:35,4.838s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-10 21:10:31,2018-02-10 21:10:32,1.013s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-10 21:10:32,2018-02-10 21:10:34,2.660s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-10 21:10:34,2018-02-10 21:10:34,0.141s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-10 21:10:34,2018-02-10 21:10:35,0.061s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-10 21:10:35,2018-02-10 21:10:35,0.053s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-02-10 21:10:35,2018-02-10 21:10:35,0.104s,PASSED
