Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Landing page,Chrome 63.0.3239.132,,2018-02-10 21:22:23,2018-02-10 21:22:33,9.656s,FAILED
,,,,,,
Test Cases/Check Landing Page Title,Chrome 63.0.3239.132,,2018-02-10 21:22:24,2018-02-10 21:22:29,5.116s,FAILED
openBrowser,Chrome 63.0.3239.132,,2018-02-10 21:22:24,2018-02-10 21:22:27,2.357s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-10 21:22:27,2018-02-10 21:22:29,2.135s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 63.0.3239.132,,2018-02-10 21:22:29,2018-02-10 21:22:29,0.042s,PASSED
verifyMatch,Chrome 63.0.3239.132,,2018-02-10 21:22:29,2018-02-10 21:22:29,0.038s,FAILED
,,,,,,
Test Cases/Verified That Elemets are Clikable,Chrome 63.0.3239.132,,2018-02-10 21:22:29,2018-02-10 21:22:33,4.108s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-10 21:22:29,2018-02-10 21:22:30,1.053s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-10 21:22:30,2018-02-10 21:22:33,2.464s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-10 21:22:33,2018-02-10 21:22:33,0.150s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-10 21:22:33,2018-02-10 21:22:33,0.065s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-10 21:22:33,2018-02-10 21:22:33,0.071s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-02-10 21:22:33,2018-02-10 21:22:33,0.102s,PASSED
