Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Landing page,Chrome 63.0.3239.132,,2018-02-09 12:17:03,2018-02-09 12:17:12,9.449s,ERROR
,,,,,,
Test Cases/Check Landing Page Title,Chrome 63.0.3239.132,,2018-02-09 12:17:03,2018-02-09 12:17:10,6.871s,ERROR
openBrowser,Chrome 63.0.3239.132,,2018-02-09 12:17:04,2018-02-09 12:17:07,2.856s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-09 12:17:07,2018-02-09 12:17:10,3.269s,PASSED
Statement - titleWindow = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 63.0.3239.132,,2018-02-09 12:17:10,2018-02-09 12:17:10,0.098s,PASSED
verifyMatch,Chrome 63.0.3239.132,,2018-02-09 12:17:10,2018-02-09 12:17:10,0.009s,PASSED
,,,,,,
Test Cases/Verified That Elemets are Clikable,Chrome 63.0.3239.132,,2018-02-09 12:17:10,2018-02-09 12:17:12,1.864s,FAILED
openBrowser,Chrome 63.0.3239.132,,2018-02-09 12:17:11,2018-02-09 12:17:12,0.990s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-09 12:17:12,2018-02-09 12:17:12,0.433s,FAILED
