Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Landing page,Chrome 63.0.3239.132,,2018-02-09 12:28:16,2018-02-09 12:29:01,45.724s,ERROR
,,,,,,
Test Cases/Check Landing Page Title,Chrome 63.0.3239.132,,2018-02-09 12:28:16,2018-02-09 12:28:24,7.720s,ERROR
openBrowser,Chrome 63.0.3239.132,,2018-02-09 12:28:17,2018-02-09 12:28:20,2.992s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-09 12:28:20,2018-02-09 12:28:24,3.777s,PASSED
Statement - titleWindow = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 63.0.3239.132,,2018-02-09 12:28:24,2018-02-09 12:28:24,0.131s,PASSED
verifyMatch,Chrome 63.0.3239.132,,2018-02-09 12:28:24,2018-02-09 12:28:24,0.004s,PASSED
,,,,,,
Test Cases/Verified That Elemets are Clikable,Chrome 63.0.3239.132,,2018-02-09 12:28:24,2018-02-09 12:29:01,37.378s,FAILED
openBrowser,Chrome 63.0.3239.132,,2018-02-09 12:28:24,2018-02-09 12:28:26,1.074s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-09 12:28:26,2018-02-09 12:28:29,3.305s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-09 12:28:29,2018-02-09 12:28:29,0.142s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-09 12:28:29,2018-02-09 12:28:29,0.068s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-09 12:28:29,2018-02-09 12:28:29,0.076s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-09 12:28:29,2018-02-09 12:29:01,32.168s,FAILED
