Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Landing page,Chrome 63.0.3239.132,,2018-02-15 19:12:09,2018-02-15 19:12:30,21.649s,PASSED
,,,,,,
Test Cases/Check Landing Page Title,Chrome 63.0.3239.132,,2018-02-15 19:12:09,2018-02-15 19:12:16,7.205s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-15 19:12:10,2018-02-15 19:12:13,2.861s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-15 19:12:13,2018-02-15 19:12:16,3.303s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 63.0.3239.132,,2018-02-15 19:12:16,2018-02-15 19:12:16,0.063s,PASSED
verifyMatch,Chrome 63.0.3239.132,,2018-02-15 19:12:16,2018-02-15 19:12:16,0.114s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-02-15 19:12:16,2018-02-15 19:12:16,0.155s,PASSED
,,,,,,
Test Cases/Verified That Elemets are Clikable,Chrome 63.0.3239.132,,2018-02-15 19:12:17,2018-02-15 19:12:21,4.594s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-15 19:12:17,2018-02-15 19:12:18,0.836s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-15 19:12:18,2018-02-15 19:12:21,2.963s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-15 19:12:21,2018-02-15 19:12:21,0.195s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-15 19:12:21,2018-02-15 19:12:21,0.094s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-15 19:12:21,2018-02-15 19:12:21,0.101s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-15 19:12:21,2018-02-15 19:12:21,0.066s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-02-15 19:12:21,2018-02-15 19:12:21,0.091s,PASSED
,,,,,,
Test Cases/Check Sign In,Chrome 63.0.3239.132,,2018-02-15 19:12:21,2018-02-15 19:12:26,5.067s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-15 19:12:21,2018-02-15 19:12:22,0.870s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-15 19:12:22,2018-02-15 19:12:24,1.771s,PASSED
click,Chrome 63.0.3239.132,,2018-02-15 19:12:24,2018-02-15 19:12:24,0.397s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-15 19:12:24,2018-02-15 19:12:25,0.565s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-15 19:12:25,2018-02-15 19:12:25,0.292s,PASSED
click,Chrome 63.0.3239.132,,2018-02-15 19:12:25,2018-02-15 19:12:25,0.140s,PASSED
verifyElementVisible,Chrome 63.0.3239.132,,2018-02-15 19:12:25,2018-02-15 19:12:26,0.597s,PASSED
click,Chrome 63.0.3239.132,,2018-02-15 19:12:26,2018-02-15 19:12:26,0.158s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-02-15 19:12:26,2018-02-15 19:12:26,0.085s,PASSED
,,,,,,
Test Cases/Check Map Page Title,Chrome 63.0.3239.132,,2018-02-15 19:12:26,2018-02-15 19:12:30,4.016s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-15 19:12:27,2018-02-15 19:12:27,0.760s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-15 19:12:27,2018-02-15 19:12:29,1.594s,PASSED
click,Chrome 63.0.3239.132,,2018-02-15 19:12:29,2018-02-15 19:12:29,0.259s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 63.0.3239.132,,2018-02-15 19:12:29,2018-02-15 19:12:29,0.040s,PASSED
verifyMatch,Chrome 63.0.3239.132,,2018-02-15 19:12:29,2018-02-15 19:12:29,0.003s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-02-15 19:12:29,2018-02-15 19:12:30,1.108s,PASSED
