Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Landing page,Chrome 63.0.3239.132,,2018-02-10 21:12:35,2018-02-10 21:12:45,10.390s,FAILED
,,,,,,
Test Cases/Check Landing Page Title,Chrome 63.0.3239.132,,2018-02-10 21:12:35,2018-02-10 21:12:41,5.605s,FAILED
openBrowser,Chrome 63.0.3239.132,,2018-02-10 21:12:36,2018-02-10 21:12:38,2.407s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-10 21:12:38,2018-02-10 21:12:40,2.519s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 63.0.3239.132,,2018-02-10 21:12:40,2018-02-10 21:12:41,0.090s,PASSED
verifyMatch,Chrome 63.0.3239.132,,2018-02-10 21:12:41,2018-02-10 21:12:41,0.048s,FAILED
,,,,,,
Test Cases/Verified That Elemets are Clikable,Chrome 63.0.3239.132,,2018-02-10 21:12:41,2018-02-10 21:12:45,4.274s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-10 21:12:41,2018-02-10 21:12:42,0.942s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-10 21:12:42,2018-02-10 21:12:45,2.566s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-10 21:12:45,2018-02-10 21:12:45,0.138s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-10 21:12:45,2018-02-10 21:12:45,0.072s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-10 21:12:45,2018-02-10 21:12:45,0.071s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-02-10 21:12:45,2018-02-10 21:12:45,0.121s,PASSED
