Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Landing page,Chrome 63.0.3239.132,,2018-02-10 21:12:52,2018-02-10 21:13:04,11.555s,FAILED
,,,,,,
Test Cases/Check Landing Page Title,Chrome 63.0.3239.132,,2018-02-10 21:12:53,2018-02-10 21:12:59,5.802s,FAILED
openBrowser,Chrome 63.0.3239.132,,2018-02-10 21:12:53,2018-02-10 21:12:56,2.508s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-10 21:12:56,2018-02-10 21:12:59,2.673s,PASSED
Statement - title = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowTitle(),Chrome 63.0.3239.132,,2018-02-10 21:12:59,2018-02-10 21:12:59,0.090s,PASSED
verifyMatch,Chrome 63.0.3239.132,,2018-02-10 21:12:59,2018-02-10 21:12:59,0.047s,FAILED
,,,,,,
Test Cases/Verified That Elemets are Clikable,Chrome 63.0.3239.132,,2018-02-10 21:12:59,2018-02-10 21:13:04,5.238s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-10 21:12:59,2018-02-10 21:13:01,1.978s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-10 21:13:01,2018-02-10 21:13:03,2.313s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-10 21:13:03,2018-02-10 21:13:04,0.193s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-10 21:13:04,2018-02-10 21:13:04,0.091s,PASSED
verifyElementClickable,Chrome 63.0.3239.132,,2018-02-10 21:13:04,2018-02-10 21:13:04,0.085s,PASSED
closeBrowser,Chrome 63.0.3239.132,,2018-02-10 21:13:04,2018-02-10 21:13:04,0.099s,PASSED
